"NAME","Latitude","Longitude","Poverty","Labor Force","Housing Characteristics","Population Composition","Personal Disruption","Housing Disruption","Retiree Migration","Urban Sprawl","Commercial Engagement","Commercial Reliance","Recreational Engagement","Recreational Reliance","Sea Level Rise Risk","Storm Surge Risk","Poverty Categorical Ranking","Labor Force Categorical Ranking","Housing Characteristics Categorical Ranking","Population Composition Categorical Ranking","Personal Disruption Categorical Ranking","Housing Disruption Categorical Ranking","Retiree Migration Categorical Ranking","Urban Sprawl Categorical Ranking","Commercial Engagement Categorical Ranking","Commercial Reliance Categorical Ranking","Recreational Engagement Categorical Ranking","Recreational Reliance Categorical Ranking","Sea Level Rise Risk Categorical Ranking","Storm Surge Risk Categorical Ranking"
"San Fernando",34.2886519,-118.4362413,"0.404","-0.329","-0.049","1.927","0.683","1.306","-0.754","1.048","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,3,4,1,4,1,1,0,0,1,0
"Cloverdale",38.7959624,-123.01537,"-0.333","-0.407","-0.038","0.199","-0.247","0.063","-0.15","0.295","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,2,1,1,0,0,1,0
"Cotati",38.328492,-122.7100491,"-0.28","-0.904","-0.257","0.099","-0.35","-0.105","-0.788","0.713","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,1,1,3,1,1,0,0,1,0
"San Buenaventura (Ventura)",34.2677796,-119.2542062,"-0.254","-0.3","-0.376","0.281","-0.207","0.287","-0.291","0.927","3.027","-0.062","N/A","N/A","-0.288","N/A",1,1,1,2,1,2,1,3,4,1,0,0,1,0
"Glendora",34.1449667,-117.8476672,"-0.227","-0.279","-0.568","0.433","-0.153","0.797","-0.296","0.695","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,3,1,3,1,1,0,0,1,0
"Hawthorne",33.9147753,-118.3480828,"0.504","-0.933","0.113","1.945","0.635","1.406","-1.206","1.723","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,3,4,1,4,1,1,0,0,1,0
"Inglewood",33.9560678,-118.3442743,"0.812","-0.621","0.048","1.976","0.924","0.811","-0.776","1.412","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,3,3,1,4,1,1,0,0,1,0
"La Cañada Flintridge",34.2109111,-118.2001349,"-0.8","-0.051","-2.495","0.031","-0.964","0.443","-0.111","1.78","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,4,1,1,0,0,1,0
"La Mirada",33.9020453,-118.0089608,"-0.333","0.084","-0.541","0.816","-0.32","0.606","0.118","0.977","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,3,1,3,2,3,1,1,0,0,1,0
"Palmdale",34.5910383,-118.1054031,"0.613","-0.011","-0.102","1.537","0.853","0.131","-0.633","0.222","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,1,4,3,2,1,2,1,1,0,0,1,0
"Palos Verdes Estates",33.7865188,-118.3949114,"-0.684","0.751","-2.269","-0.24","-0.969","-0.601","0.618","2.182","-0.157","-0.088","N/A","N/A","-0.298","N/A",1,3,1,1,1,1,3,4,1,1,0,0,1,0
"Rolling Hills",33.7600181,-118.3471648,"-0.95","1.423","-1.063","-0.531","-0.859","-1.013","1.116","2.356","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,1,1,1,1,4,4,1,1,0,0,1,0
"Santa Clarita",34.4140833,-118.4947294,"-0.344","-0.67","-0.751","0.445","-0.256","0.247","-0.781","0.703","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,3,1,1,0,0,1,0
"Santa Fe Springs",33.9335648,-118.0626113,"0.415","-0.007","-0.161","1.548","-0.018","1.197","-0.228","0.57","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,1,4,1,3,1,1,0,0,1,0
"Vernon",34.001123,-118.2108689,"-0.953","-1.214","1.003","2.082","-0.725","N/A","-1.55","0.625","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,4,4,1,0,1,3,1,1,0,0,1,0
"Walnut",34.0371955,-117.8556059,"-0.463","0.021","-1.442","1.382","-0.598","0.856","0.011","1.009","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,4,1,3,2,4,1,1,0,0,1,0
"Sierra Madre",34.1687705,-118.0502158,"-0.538","-0.222","-0.99","-0.31","-0.615","1.233","-0.294","1.349","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,4,1,4,1,1,0,0,1,0
"South Pasadena",34.1089567,-118.1566154,"-0.427","-1.007","-1.073","0.407","-0.62","1.227","-0.977","1.751","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,4,1,4,1,1,0,0,1,0
"Calabasas",34.134015,-118.669128,"-0.612","-0.483","-1.866","-0.204","-0.623","0.188","-0.712","1.198","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,4,1,1,0,0,1,0
"Rolling Hills Estates",33.7616102,-118.3930341,"-0.746","0.73","-2.746","-0.193","-0.881","-0.263","0.674","1.731","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,1,3,4,1,1,0,0,1,0
"Benicia",38.0691473,-122.1511998,"-0.349","-0.477","-0.654","-0.157","-0.629","-0.311","-0.036","0.605","-0.149","-0.088","N/A","N/A","-0.056","N/A",1,1,1,1,1,1,1,3,1,1,0,0,1,0
"Dixon",38.447512,-121.8242225,"-0.083","-0.651","-0.296","0.709","0.365","-0.43","-0.612","0.334","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,2,1,1,2,1,1,0,0,1,0
"Rio Vista",38.1751526,-121.708586,"-0.054","1.715","-0.189","-0.794","-0.394","-0.124","2.046","0.145","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,1,1,1,1,4,2,1,1,0,0,1,0
"Lynwood",33.9239617,-118.2016475,"1.097","-0.115","0.116","2.42","1.389","0.868","-0.95","1.493","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,3,1,4,1,1,0,0,1,0
"Suisun City",38.2483339,-122.0100659,"-0.227","-0.595","-0.49","0.905","-0.147","-0.267","-0.644","0.729","-0.157","-0.088","N/A","N/A","0.225","N/A",1,1,1,3,1,1,1,3,1,1,0,0,2,0
"Moorpark",34.285943,-118.8762626,"-0.708","-0.833","-1.135","0.145","-0.575","0.203","-0.779","0.771","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,3,1,1,0,0,1,0
"Rohnert Park",38.3482133,-122.6988818,"-0.345","-0.734","-0.163","0.409","-0.154","-0.741","-0.743","0.796","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,1,1,3,1,1,0,0,1,0
"Sebastopol",38.3999838,-122.8277275,"-0.137","-0.288","-0.264","-0.518","-0.199","0.295","-0.114","0.944","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,3,1,1,0,0,1,0
"Sonoma",38.2903313,-122.459831,"-0.078","0.163","-0.659","-0.642","-0.367","0.5","0.465","1.05","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,3,2,4,1,1,0,0,1,0
"Camarillo",34.2218233,-119.0321535,"-0.419","-0.181","-0.87","-0.007","-0.591","0.476","0.085","0.816","-0.138","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,2,3,1,1,0,0,1,0
"Fillmore",34.3984228,-118.916096,"0.008","-0.277","-0.214","1.21","0.25","1.082","-0.37","0.517","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,4,1,3,1,1,0,0,1,0
"Oxnard",34.1988343,-119.201293,"0.274","-0.542","-0.274","1.915","0.383","0.358","-0.647","0.975","1.935","-0.08","N/A","N/A","-0.143","N/A",2,1,1,4,2,2,1,3,4,1,0,0,1,0
