"id","Akashiwo sanguinea ( cells/L )","Alexandrium ( cells/L )","Dinophysis ( cells/L )","Lingulodinium polyedra ( cells/L )","Pseudo-nitzschia delicatissima ( cells/L )","Pseudo-nitzschia seriata ( cells/L )"
"HABs-CalPoly_2008-08-15T19:00:00Z",3198.8298,9596.489,0,0,0,3198.8298
"HABs-CalPoly_2008-08-19T19:00:00Z",2132.5532,0,0,1066.2766,24524.361,41584.785
"HABs-CalPoly_2008-08-26T19:00:00Z",0,2132.5532,0,0,38385.957,8530.213
"HABs-CalPoly_2008-09-02T19:00:00Z",12795.319,0,6397.6597,4265.1064,0,0
"HABs-CalPoly_2008-09-08T19:00:00Z",4265.1064,10662.766,14927.872,2132.5532,17060.426,4265.1064
"HABs-CalPoly_2008-09-16T19:00:00Z",17060.426,12795.319,14927.872,0,0,0
"HABs-CalPoly_2008-09-22T19:00:00Z",4265.1064,0,2132.5532,0,21325.531,6397.6597
"HABs-CalPoly_2008-09-29T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2008-10-02T19:00:00Z",0,0,2132.5532,0,0,0
"HABs-CalPoly_2008-10-06T19:00:00Z",2132.5532,0,4265.1064,0,0,0
"HABs-CalPoly_2008-10-09T19:00:00Z",2132.5532,0,0,0,0,0
"HABs-CalPoly_2008-10-13T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2008-10-16T19:00:00Z",0,533.0767,2132.307,0,0,0
"HABs-CalPoly_2008-10-20T19:00:00Z",12795.319,0,2132.5532,0,0,0
"HABs-CalPoly_2008-10-23T19:00:00Z",0,8530.213,2132.5532,0,0,0
"HABs-CalPoly_2008-10-27T19:00:00Z",0,6397.6597,4265.1064,0,0,0
"HABs-CalPoly_2008-10-30T19:00:00Z",4265.1064,0,2132.5532,0,0,0
"HABs-CalPoly_2008-11-03T20:00:00Z",4265.1064,0,6397.6597,0,0,0
"HABs-CalPoly_2008-11-06T20:00:00Z",2132.5532,2132.5532,0,0,0,0
"HABs-CalPoly_2008-11-10T20:00:00Z",0,2132.5532,0,0,0,0
"HABs-CalPoly_2008-11-13T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2008-11-17T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2008-11-20T20:00:00Z",0,0,2132.5532,0,0,0
"HABs-CalPoly_2008-11-24T20:00:00Z",0,2132.5532,4265.1064,0,0,0
"HABs-CalPoly_2008-12-01T20:00:00Z",0,8530.213,2132.5532,0,2132.5532,0
"HABs-CalPoly_2008-12-18T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2008-12-22T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-01-05T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-01-08T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-01-12T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-01-15T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-01-19T20:00:00Z",0,2132.5532,0,0,0,0
"HABs-CalPoly_2009-01-22T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-01-26T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-01-29T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-02-02T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-02-05T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-02-09T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-02-12T20:00:00Z",0,3198.8298,0,0,0,0
"HABs-CalPoly_2009-02-16T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-02-19T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-02-23T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-02-26T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-03-02T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-03-05T20:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-03-09T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-03-12T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-03-16T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-03-19T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-03-23T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-03-26T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-03-30T19:00:00Z",0,2132.5532,0,0,0,0
"HABs-CalPoly_2009-04-02T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-04-06T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-04-09T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-04-13T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-04-16T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-04-20T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-04-23T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-04-27T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-04-30T19:00:00Z",0,0,0,0,0,5331.383
"HABs-CalPoly_2009-05-04T19:00:00Z",0,0,0,0,0,8530.213
"HABs-CalPoly_2009-05-07T19:00:00Z",0,0,0,0,14927.872,0
"HABs-CalPoly_2009-05-11T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-05-14T19:00:00Z",0,0,0,0,0,2132.5532
"HABs-CalPoly_2009-05-18T19:00:00Z",0,0,0,0,8530.213,0
"HABs-CalPoly_2009-05-21T19:00:00Z",0,0,0,0,0,25590.639
"HABs-CalPoly_2009-05-25T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-05-28T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-06-01T19:00:00Z",0,0,0,0,0,0
"HABs-CalPoly_2009-06-04T19:00:00Z",0,0,2132.5532,0,0,0
