"id","Alexandrium ( cells/L )","Pseudo-nitzschia seriata ( cells/L )","Ammonium ( uM )","Nitrate ( uM )","Nitrite ( uM )","Phosphate ( uM )","Silicate ( uM )","Temp ( Celsius )","locationID","eventDate"
"HABs-CalPoly_2008-08-15T19:00:00Z",9596.489,3198.8298,NA,NA,NA,NA,NA,14.9,"CalPoly",2008-08-15
"HABs-CalPoly_2008-08-19T19:00:00Z",0,41584.785,NA,NA,NA,NA,NA,15.5,"CalPoly",2008-08-19
"HABs-CalPoly_2008-08-26T19:00:00Z",2132.5532,8530.213,NA,NA,NA,NA,NA,17.8,"CalPoly",2008-08-26
"HABs-CalPoly_2008-09-02T19:00:00Z",0,0,NA,NA,NA,NA,NA,16,"CalPoly",2008-09-02
"HABs-CalPoly_2008-09-08T19:00:00Z",10662.766,4265.1064,NA,NA,NA,NA,NA,16.3,"CalPoly",2008-09-08
"HABs-CalPoly_2008-09-16T19:00:00Z",12795.319,0,35.60604,-0.17015447,0.17015447,2.946183,115.780785,15.5,"CalPoly",2008-09-16
"HABs-CalPoly_2008-09-22T19:00:00Z",0,6397.6597,0.20389754,6.0354323,0.73540276,1.335776,90.36936,14.1,"CalPoly",2008-09-22
"HABs-CalPoly_2008-09-29T19:00:00Z",0,0,0.62319964,0.7907312,0.3158834,0.264792,74.67448,15.3,"CalPoly",2008-09-29
"HABs-CalPoly_2008-10-02T19:00:00Z",0,0,NA,NA,NA,NA,NA,16,"CalPoly",2008-10-02
"HABs-CalPoly_2008-10-06T19:00:00Z",0,0,1.1854922,2.0010386,0.22792643,0.530226,70.73152,14.3,"CalPoly",2008-10-06
"HABs-CalPoly_2008-10-09T19:00:00Z",0,0,NA,NA,NA,NA,NA,14.2,"CalPoly",2008-10-09
"HABs-CalPoly_2008-10-13T19:00:00Z",0,0,6.836946,12.647314,0.51274383,1.786769,97.70248,12.3,"CalPoly",2008-10-13
"HABs-CalPoly_2008-10-16T19:00:00Z",533.0767,0,NA,NA,NA,NA,NA,13.6,"CalPoly",2008-10-16
"HABs-CalPoly_2008-10-20T19:00:00Z",0,0,1.9743387,5.0251775,0.861519,1.194296,70.803406,13.6,"CalPoly",2008-10-20
"HABs-CalPoly_2008-10-23T19:00:00Z",8530.213,0,NA,NA,NA,NA,NA,13.6,"CalPoly",2008-10-23
"HABs-CalPoly_2008-10-27T19:00:00Z",6397.6597,0,2.0060241,4.7606397,0.332173,0.8266541,65.86568,13.9,"CalPoly",2008-10-27
"HABs-CalPoly_2008-10-30T19:00:00Z",0,0,NA,NA,NA,NA,NA,14.3,"CalPoly",2008-10-30
"HABs-CalPoly_2008-11-03T20:00:00Z",0,0,1.995916,3.5535698,0.363487,0.6264163,78.09164,14.3,"CalPoly",2008-11-03
"HABs-CalPoly_2008-11-06T20:00:00Z",2132.5532,0,NA,NA,NA,NA,NA,14.9,"CalPoly",2008-11-06
"HABs-CalPoly_2008-11-10T20:00:00Z",2132.5532,0,3.3625605,5.6721015,0.50236,1.0304189,58.25415,13.7,"CalPoly",2008-11-10
"HABs-CalPoly_2008-11-13T20:00:00Z",0,0,NA,NA,NA,NA,NA,12.5,"CalPoly",2008-11-13
