"id","Ammonium ( uM )","Avg_Chloro ( mg/m3 )","Avg_Phaeo ( mg/m3 )","Chl1 ( mg/m3 )","Chl2 ( mg/m3 )","Nitrate ( uM )","Nitrite ( uM )","Nitrite_Nitrate ( uM )","pDA ( ng/mL )","Phaeo1 ( mg/m3 )","Phaeo2 ( mg/m3 )","Phosphate ( uM )","Silicate ( uM )","Temp ( Celsius )","Salinity ( PSS )"
"HABs-CalPoly_2008-09-16T19:00:00Z",35.60604,NA,NA,NA,NA,-0.17015447,0.17015447,0,0,NA,NA,2.946183,115.780785,15.5,NA
"HABs-CalPoly_2008-09-22T19:00:00Z",0.20389754,28.8325,-0.27,31.505,26.16,6.0354323,0.73540276,6.770835,0,-0.215,-0.325,1.335776,90.36936,14.1,NA
"HABs-CalPoly_2008-09-29T19:00:00Z",0.62319964,25.0025,2.3175,28.915,21.09,0.7907312,0.3158834,1.1066146,0,1.285,3.35,0.264792,74.67448,15.3,NA
"HABs-CalPoly_2008-10-06T19:00:00Z",1.1854922,10.01,0.17,9.87,10.15,2.0010386,0.22792643,2.228965,0,0.035,0.305,0.530226,70.73152,14.3,NA
"HABs-CalPoly_2008-10-13T19:00:00Z",6.836946,1.395,0.4175,1.39,1.4,12.647314,0.51274383,13.160058,0,0.47,0.365,1.786769,97.70248,12.3,NA
"HABs-CalPoly_2008-10-20T19:00:00Z",1.9743387,67.21,10.185,68.87,65.55,5.0251775,0.861519,5.8866963,0,10.875,9.495,1.194296,70.803406,13.6,NA
"HABs-CalPoly_2008-10-27T19:00:00Z",2.0060241,16.595,1.8275,17.24,15.95,4.7606397,0.332173,5.0928125,0,1.94,1.715,0.8266541,65.86568,13.9,NA
"HABs-CalPoly_2008-11-03T20:00:00Z",1.995916,16.7325,2.205,17.28,16.185,3.5535698,0.363487,3.9170568,0.047,2.265,2.145,0.6264163,78.09164,14.3,NA
"HABs-CalPoly_2008-11-10T20:00:00Z",3.3625605,2.045,0.87,2.1,1.99,5.6721015,0.50236,6.1744614,0,0.85,0.89,1.0304189,58.25415,13.7,NA
"HABs-CalPoly_2008-11-17T20:00:00Z",2.03822,2.695,0.855,2.76,2.63,21.398355,0.558825,21.95718,0,0.86,0.85,2.3436537,74.63332,12.9,NA
"HABs-CalPoly_2008-11-24T20:00:00Z",2.4033308,2.8075,0.765,2.96,2.655,7.593696,0.427938,8.021634,0,0.88,0.65,1.0867728,82.46444,13.4,NA
"HABs-CalPoly_2008-12-01T20:00:00Z",1.1250643,10.8575,1.4,11.14,10.575,4.615721,0.323427,4.939148,0,1.535,1.265,0.79096514,80.797676,13.9,NA
"HABs-CalPoly_2008-12-08T20:00:00Z",1.4640652,3.5425,1.04,3.475,3.61,5.30972,0.405292,5.715012,0,1.18,0.9,0.8133398,55.802444,13.9,NA
"HABs-CalPoly_2008-12-15T20:00:00Z",0.9306765,2.05,0.67,2.04,2.06,7.240021,0.434012,7.674033,0,0.68,0.66,0.9935395,73.17448,13.2,NA
"HABs-CalPoly_2008-12-22T20:00:00Z",1.1738865,2.01,0.375,2.01,2.01,9.932828,0.511564,10.444391,0,0.34,0.41,1.3121827,68.56429,12.3,NA
"HABs-CalPoly_2009-01-05T20:00:00Z",1.079034,1.935,0.92,1.9,1.97,13.351156,0.492155,13.843311,0,0.93,0.91,1.5625651,55.204567,11.6,NA
"HABs-CalPoly_2009-01-12T20:00:00Z",1.9062067,0.9925,0.495,0.955,1.03,9.913606,0.426739,10.340345,0,0.54,0.45,1.1946807,87.540726,11.6,NA
"HABs-CalPoly_2009-01-19T20:00:00Z",2.8409338,1.83,1.295,1.88,1.78,5.515725,0.242685,5.7584105,0.005,1.33,1.26,0.9052243,80.30142,12.1,NA
"HABs-CalPoly_2009-01-26T20:00:00Z",2.3152251,0.5325,0.59,0.555,0.51,4.3747087,0.2917,4.6664085,0,0.595,0.585,0.80144185,46.834946,12.8,NA
"HABs-CalPoly_2009-02-02T20:00:00Z",2.8965955,3.375,0.94,3.44,3.31,12.9475,0.435568,13.383069,0,0.89,0.99,1.4964324,63.67315,12.4,NA
"HABs-CalPoly_2009-02-09T20:00:00Z",2.174609,0.875,0.615,0.86,0.89,7.998151,0.255781,8.253932,0,0.67,0.56,1.1387013,50.54731,12.8,NA
"HABs-CalPoly_2009-02-16T20:00:00Z",2.7097719,1.035,1.275,1.03,1.04,6.503178,0.66695803,7.170136,0,1.29,1.26,0.9110699,53.238903,12.2,NA
"HABs-CalPoly_2009-02-23T20:00:00Z",0.7849261,2.015,0.965,2.06,1.97,10.492654,0.46226764,10.954922,0,0.96,0.97,1.1402642,55.697453,12.5,NA
"HABs-CalPoly_2009-03-02T20:00:00Z",0,5.93,1.105,5.88,5.98,5.5442953,1.1158667,6.660162,0.041,1.08,1.13,0,0,12.8,NA
"HABs-CalPoly_2009-03-09T19:00:00Z",3.079498,0.415,0.17,0.42,0.41,5.851857,0.3429647,6.194822,0,0.16,0.18,1.0593922,71.74135,12.6,NA
"HABs-CalPoly_2009-03-16T19:00:00Z",0,15.485,3.725,16.04,14.93,3.5115292,0.38010457,3.8916337,0.043,3.51,3.94,0.72756565,59.64587,11.1,NA
"HABs-CalPoly_2009-03-23T19:00:00Z",0,3.82,1.945,3.88,3.76,5.7638125,1.1356528,6.8994656,0,1.93,1.96,0,0,11,NA
"HABs-CalPoly_2009-03-30T19:00:00Z",0.10645866,12.265,7.6,12.16,12.37,0.65546656,0,0.65546656,0,7.35,7.85,0.23383346,56.41472,11.7,NA
"HABs-CalPoly_2009-04-06T19:00:00Z",0.35048905,14.155,6.4,13.37,14.94,0.565071,0.12081366,0.68588465,0.084,6.72,6.08,0.38888365,40.56579,11,NA
"HABs-CalPoly_2009-04-13T19:00:00Z",2.372426,1.195,0.825,1.18,1.21,11.559369,0.3386691,11.898038,0.21,0.83,0.82,1.5415652,44.65893,12.7,NA
"HABs-CalPoly_2009-04-20T19:00:00Z",0.20672652,3.51,0.725,3.42,3.6,15.319148,0.4393333,15.758482,0,0.73,0.72,1.3412513,69.85056,12.7,NA
"HABs-CalPoly_2009-04-27T19:00:00Z",2.8440125,5.585,2.995,5.16,6.01,15.192974,0.54895157,15.741925,0.086,2.9,3.09,1.6494229,57.397083,10.7,NA
"HABs-CalPoly_2009-05-04T19:00:00Z",32.72875,4.75,8.19,4.65,4.85,2.6696458,0.48717165,3.1568174,0.12,7.76,8.62,0.8015692,32.389095,10.9,NA
"HABs-CalPoly_2009-05-11T19:00:00Z",0,5.33,5.685,5.23,5.43,2.985951,0.26457185,3.2505226,0,5.27,6.1,0.588768,45.154156,12.4,NA
"HABs-CalPoly_2009-05-18T19:00:00Z",9.168049,6.53,6.98,6.59,6.47,3.6257422,0.39090976,4.016652,0.3,7.17,6.79,0.49188223,29.946177,11.3,NA
"HABs-CalPoly_2009-05-25T19:00:00Z",2.1638837,2.725,2.02,2.8,2.65,2.905894,0.2354714,3.1413655,0.26,2.04,2,0.9375004,44.88735,NA,NA
"HABs-CalPoly_2009-06-01T19:00:00Z",25.206291,1.595,0.685,1.62,1.57,9.269821,0.6590249,9.928846,0,0.68,0.69,1.581132,35.625862,12.9,NA
"HABs-CalPoly_2009-06-08T19:00:00Z",0.731366,7.055,3.2,6.98,7.13,2.2709274,0.12646545,2.3973927,0.16,2.85,3.55,0.4435246,60.243347,16.2,NA
"HABs-CalPoly_2009-06-15T19:00:00Z",0.1460356,18.845,4.735,21.09,16.6,2.0141692,0.27596352,2.2901328,0,4.44,5.03,0.51862425,44.713734,14,NA
"HABs-CalPoly_2009-06-22T19:00:00Z",2.0778034,5.65,2.045,5.77,5.53,5.9442205,0.5157548,6.4599752,0,2.17,1.92,1.0250108,48.141228,12.6,NA
"HABs-CalPoly_2009-06-29T19:00:00Z",1.1683427,1.88,0.61,1.85,1.91,2.9146714,0.24977402,3.1644454,0,0.66,0.56,0.5254868,51.644302,15.3,NA
"HABs-CalPoly_2009-07-02T19:00:00Z",42.233826,NA,NA,NA,NA,6.5454545,0.54326946,7.088724,NA,NA,NA,1.1008074,38.841984,15.4,NA
"HABs-CalPoly_2009-07-06T19:00:00Z",3.6886523,2.835,0.87,2.6,3.07,3.31183,0.40638113,3.7182112,0,0.97,0.77,0.82190526,53.909477,13.9,NA
"HABs-CalPoly_2009-07-13T19:00:00Z",0.2738094,12.76,1.825,11.51,14.01,0.5294171,0.11621214,0.6456293,0,1.72,1.93,0.1614982,48.539482,15.6,NA
"HABs-CalPoly_2009-07-27T19:00:00Z",8.0189905,3.935,1.12,3.69,4.18,8.290057,0.58945096,8.879509,0,0.93,1.31,1.4826673,62.961216,14,NA
"HABs-CalPoly_2009-08-03T19:00:00Z",0,10.645,3.75,10.52,10.77,NA,0.15678135,NA,0,3.74,3.76,0.31242535,103.06897,14.7,NA
"HABs-CalPoly_2009-08-10T19:00:00Z",3.1429462,3.17,1.405,3.17,3.17,5.3801374,0.2923678,5.6725054,0,1.29,1.52,0.8934398,55.842964,14.5,NA
"HABs-CalPoly_2009-08-17T19:00:00Z",0.50984526,3.995,0.79,4.01,3.98,2.6554945,0.33137083,2.9868653,0.16,0.8,0.78,0.69836414,60.08032,14.3,NA
"HABs-CalPoly_2009-08-24T19:00:00Z",4.251954,1.45,0.425,1.42,1.48,4.010454,0.36598715,4.3764415,1.6,0.42,0.43,0.9176908,70.607544,13.7,NA
"HABs-CalPoly_2009-08-31T19:00:00Z",3.2463224,2.79,0.825,2.71,2.87,2.9525018,0.28195497,3.2344568,2.55,0.78,0.87,0.67671275,65.2443,15.5,NA
"HABs-CalPoly_2009-09-07T19:00:00Z",8.004083,4.375,1.855,4.41,4.34,3.332796,0,3.332796,0.46,1.76,1.95,1.3908336,100.95186,15,NA
"HABs-CalPoly_2009-09-14T19:00:00Z",7.454865,1.56,0.945,1.6,1.52,3.20985,0.22818,3.43803,0,1.07,0.82,1.2198259,71.84648,NA,NA
"HABs-CalPoly_2009-09-21T19:00:00Z",2.2460828,2.955,0.52,3.08,2.83,2.265578,0.172088,2.437666,0,0.55,0.49,0.66500926,79.773766,NA,NA
"HABs-CalPoly_2009-10-05T19:00:00Z",7.794193,0.895,0.99,0.85,0.94,10.523059,0.535609,11.058668,0.067,0.81,1.17,1.8154867,141.98842,NA,NA
"HABs-CalPoly_2009-10-12T19:00:00Z",3.9367166,7.67,1.93,7.36,7.99,1.704116,0,1.704116,0,1.91,1.96,0.9333802,80.64641,14.2,NA
"HABs-CalPoly_2009-10-19T19:00:00Z",4.0466604,2.52,0.73,2.46,2.58,3.674345,0.145977,3.820322,0,0.7,0.76,0.9317117,NA,NA,NA
"HABs-CalPoly_2009-10-26T19:00:00Z",4.3077054,2.62,1.11,2.38,2.85,7.80484,0.388869,8.193709,0,1.02,1.21,1.6497543,NA,NA,NA
"HABs-CalPoly_2009-11-02T20:00:00Z",1.5900625,14.97,1.51,14.27,15.66,7.833617,0.437742,8.271359,0.051,1.9,1.11,1.0280986,NA,NA,NA
"HABs-CalPoly_2009-11-09T20:00:00Z",1.2859787,20.4,2.56,22.65,18.16,3.1139846,0.42364,3.5376246,0,2.57,2.55,0.7748231,55.39513,NA,NA
"HABs-CalPoly_2009-11-16T20:00:00Z",7.528452,33.68,7.215,30.07,37.29,9.1954155,0.522182,9.717598,0.068,5.19,9.24,1.8829256,62.714825,NA,NA
"HABs-CalPoly_2009-11-23T20:00:00Z",4.3198986,2.84,0.94,2.83,2.85,12.697159,0.588797,13.285955,0,0.92,0.96,1.5324218,63.8449,NA,NA
"HABs-CalPoly_2009-11-30T20:00:00Z",1.2075185,4.84,0.83,4.49,5.19,9.2947035,0.563697,9.858401,0,0.88,0.77,1.1224631,88.418976,NA,NA
"HABs-CalPoly_2009-12-07T20:00:00Z",0.507734,24.7,3.49,25.97,23.43,8.065273,0.588948,8.654221,0.17,3.96,3.02,1.0687358,17.511732,NA,NA
"HABs-CalPoly_2009-12-14T20:00:00Z",1.8316878,3.85,0.7,3.63,4.06,8.552815,0.543286,9.096102,0,0.71,0.7,1.188268,16.44821,NA,NA
"HABs-CalPoly_2009-12-21T20:00:00Z",4.0017915,2.67,0.71,2.69,2.66,6.725856,0.438059,7.1639147,0,0.75,0.67,1.1909361,14.868796,NA,NA
"HABs-CalPoly_2009-12-28T20:00:00Z",2.679541,3.45,1.62,3.49,3.4,9.208429,0.538667,9.747096,0,1.57,1.67,1.2701907,16.084312,NA,NA
"HABs-CalPoly_2010-01-04T20:00:00Z",1.4876266,11.46,2.43,11.63,11.29,8.9505,0.366873,9.317372,0,2.49,2.36,1.1973861,14.066231,NA,NA
"HABs-CalPoly_2010-01-11T20:00:00Z",1.996659,6.26,1.89,5.84,6.67,5.1802278,0.279075,5.459303,0,2.1,1.68,0.8486187,6.969148,NA,NA
"HABs-CalPoly_2010-01-18T20:00:00Z",2.552675,2.45,2.41,2.41,2.49,10.550776,0.474521,11.025296,0,2.44,2.37,1.5990711,19.285627,NA,NA
"HABs-CalPoly_2010-01-25T20:00:00Z",4.138286,0.35,0.57,0.32,0.39,8.318796,0.781089,9.099885,0,0.58,0.56,1.3242229,16.69666,NA,NA
"HABs-CalPoly_2010-02-01T20:00:00Z",2.377431,0.43,0.26,0.44,0.42,9.709628,0.663259,10.372887,0,0.29,0.24,1.4804772,18.96312,NA,NA
"HABs-CalPoly_2010-02-08T20:00:00Z",3.0376313,0.89,0.82,0.82,0.96,8.745764,0.54446393,9.290228,0.057,0.74,0.89,1.2447299,26.648884,NA,NA
"HABs-CalPoly_2010-02-15T20:00:00Z",1.8241888,0.43,0.66,0.43,0.44,12.519248,0.6701595,13.189407,0.11,0.58,0.74,1.1685319,21.640833,NA,NA
"HABs-CalPoly_2010-02-22T20:00:00Z",1.7463065,0.99,0.55,1,0.99,8.782249,0.34718865,9.129438,0,0.56,0.54,0.9267049,13.929096,NA,NA
"HABs-CalPoly_2010-03-01T20:00:00Z",1.22329,1.31,0.87,1.43,1.19,7.688182,0.40440127,8.092584,0,0.87,0.86,0.9696842,17.259487,NA,NA
"HABs-CalPoly_2010-03-08T20:00:00Z",1.8137242,0.44,0.65,0.43,0.44,9.962944,0.48425922,10.447203,0.053,0.6,0.69,1.0451095,15.457277,NA,NA
"HABs-CalPoly_2010-03-15T19:00:00Z",0.3805697,0.41,0.33,0.32,0.5,24.311972,0.31185973,24.623833,0.075,0.27,0.39,1.7944545,30.099606,NA,NA
"HABs-CalPoly_2010-03-22T19:00:00Z",1.2298166,3.06,1.27,3.02,3.11,9.371132,0.18868487,9.559816,0.041,1.31,1.24,0.6358634,16.573948,NA,NA
"HABs-CalPoly_2010-03-29T19:00:00Z",1.3875551,1.08,0.77,1.1,1.07,17.174814,0.3697166,17.54453,0.063,0.79,0.75,1.2443522,23.295784,NA,NA
"HABs-CalPoly_2010-04-05T19:00:00Z",0.752676,2.48,1.66,2.22,2.73,19.866903,0.40656525,20.27347,0.057,1.82,1.51,1.4342155,24.565504,NA,NA
"HABs-CalPoly_2010-04-12T19:00:00Z",1.2891154,1.19,0.73,1.1,1.27,7.369323,0.15989064,7.5292134,0,0.69,0.78,0.8136865,8.958212,NA,NA
"HABs-CalPoly_2010-04-19T19:00:00Z",1.6648916,1.44,0.35,1.41,1.48,10.376281,0.21996246,10.596244,0,0.35,0.36,0.8918164,12.15012,NA,NA
