"id","eventID","eventDate","eventRemarks","locationID","countryCode","minimumDepthInMeters","maximumDepthInMeters","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters"
"HABs-CalPoly_2008-08-15T19:00:00Z","HABs-CalPoly_2008-08-15T19:00:00Z","2008-08-15T19:00:00Z","CP080815","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-08-19T19:00:00Z","HABs-CalPoly_2008-08-19T19:00:00Z","2008-08-19T19:00:00Z","CP080819","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-08-26T19:00:00Z","HABs-CalPoly_2008-08-26T19:00:00Z","2008-08-26T19:00:00Z","CP080826","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-09-02T19:00:00Z","HABs-CalPoly_2008-09-02T19:00:00Z","2008-09-02T19:00:00Z","CP080902","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-09-08T19:00:00Z","HABs-CalPoly_2008-09-08T19:00:00Z","2008-09-08T19:00:00Z","CP080908","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-09-16T19:00:00Z","HABs-CalPoly_2008-09-16T19:00:00Z","2008-09-16T19:00:00Z","CP080916","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-09-22T19:00:00Z","HABs-CalPoly_2008-09-22T19:00:00Z","2008-09-22T19:00:00Z","CP080922","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-09-29T19:00:00Z","HABs-CalPoly_2008-09-29T19:00:00Z","2008-09-29T19:00:00Z","CP080929","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-10-02T19:00:00Z","HABs-CalPoly_2008-10-02T19:00:00Z","2008-10-02T19:00:00Z","CP081002","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-10-06T19:00:00Z","HABs-CalPoly_2008-10-06T19:00:00Z","2008-10-06T19:00:00Z","CP081006","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-10-09T19:00:00Z","HABs-CalPoly_2008-10-09T19:00:00Z","2008-10-09T19:00:00Z","CP081009","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-10-13T19:00:00Z","HABs-CalPoly_2008-10-13T19:00:00Z","2008-10-13T19:00:00Z","CP081013","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-10-16T19:00:00Z","HABs-CalPoly_2008-10-16T19:00:00Z","2008-10-16T19:00:00Z","CP081016","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-10-20T19:00:00Z","HABs-CalPoly_2008-10-20T19:00:00Z","2008-10-20T19:00:00Z","CP081020","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-10-23T19:00:00Z","HABs-CalPoly_2008-10-23T19:00:00Z","2008-10-23T19:00:00Z","CP081023","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-10-27T19:00:00Z","HABs-CalPoly_2008-10-27T19:00:00Z","2008-10-27T19:00:00Z","CP081027","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-10-30T19:00:00Z","HABs-CalPoly_2008-10-30T19:00:00Z","2008-10-30T19:00:00Z","CP081030","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-11-03T20:00:00Z","HABs-CalPoly_2008-11-03T20:00:00Z","2008-11-03T20:00:00Z","CP081103","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-11-06T20:00:00Z","HABs-CalPoly_2008-11-06T20:00:00Z","2008-11-06T20:00:00Z","CP081106","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-11-10T20:00:00Z","HABs-CalPoly_2008-11-10T20:00:00Z","2008-11-10T20:00:00Z","CP081110","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-11-13T20:00:00Z","HABs-CalPoly_2008-11-13T20:00:00Z","2008-11-13T20:00:00Z","CP081113","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-11-17T20:00:00Z","HABs-CalPoly_2008-11-17T20:00:00Z","2008-11-17T20:00:00Z","CP081117","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-11-20T20:00:00Z","HABs-CalPoly_2008-11-20T20:00:00Z","2008-11-20T20:00:00Z","CP081120","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-11-24T20:00:00Z","HABs-CalPoly_2008-11-24T20:00:00Z","2008-11-24T20:00:00Z","CP081124","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-12-01T20:00:00Z","HABs-CalPoly_2008-12-01T20:00:00Z","2008-12-01T20:00:00Z","CP081201","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-12-04T20:00:00Z","HABs-CalPoly_2008-12-04T20:00:00Z","2008-12-04T20:00:00Z","CP081204","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
"HABs-CalPoly_2008-12-08T20:00:00Z","HABs-CalPoly_2008-12-08T20:00:00Z","2008-12-08T20:00:00Z","CP081208","HABs-CalPoly","US",1,1,35.17,-120.741,"EPSG:4326 WGS84",30
